계,컴퍼,회사,월,P,마지막,약대22,약대24,약대28,30,31,36,37,38,39,48,49,60,61
23-09,에스제이테크,K/NH,1000,38,24-10,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,웰데이타시스템,M,1000,38,24-12,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-10,오비시스,SH/S,1001,38/48,24-10,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,아이앤비케어(신계약),M,1001,38,25-01,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,엠앤와이즈,SH,1000,38,24-10,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,주성이엔씨(11월계약포함),S/NH,1000,38,24-10,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-11,리마켓(프리),SH/K,2002,48,25-01,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,리마켓(현금),SH/K,1000,48,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,플랜씨엠,S,500,38,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,에이치알엘,S,1000,38,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-12,큐브텍코리아(1월계약포함),S/SH,1000,38/48,25-01,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,디자인패러다임,K,500,48,25-02,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
